Plan Name,Plan URL,Plan Resolution,Planning Method,Acquisition,Easement,Stewardship,Habitat,Water Quality ,Resources/Species,Community Resilience,Ecosystem Resilience,Gulf Economy,Plan Timeframe,Agency Lead,Geo Extent,ref_num
Jan K. Platt Environmental Lands Acquisition and Protection Program (ELAPP) p,http://www.hillsboroughcounty.org/library/hillsborough/media-center/documents/conservation-and-regional-parks/elapp/elapp-brochure.pdf,County,expert opinion,yes,yes,yes,"Land containing native and scarce flora and fauna, Lands that supply a significant habitat for endangered or threatened plants or animals; Land that provides buffer zones, links, or additions to existing environmentally-sensitive lands, or which forms part of a natural greenway",Land which plays a vital role in the protection and enhancement of water quality but cannot be protected through other government agencies or regulations,,,,,2016,Hillsborough County,Hillsborough,99
"Comprehensive Plan 2025 Jefferson County, Florida",http://www.jeffersoncountyfl.gov/Uploads/Editor/file/planning/2025AdoptedCompPlanprinted04-09-2013.pdf,County,expert opinion,yes,yes,yes,"Protect, preserve, and enhance the natural resources of the coastal area.",Prevent new discharge of untreated stormwater from all sources into the County's receiving waters through the use of land development regulations that prohibit discharge of untreated stormwater into any surface water,,Reduce vulnerability to hurricane and protect human life from such natural disasters,,,2012,Jefferson County,Jefferson,100
Levy County Comprehensive Plan,https://www.levycounty.org/department/planning_department/index.php,County,expert opinion,yes,yes,yes,"Protect, conserve, enhance, or appropriately use the County's natural resources in a manner which maximizes their long term viability and economic, recreational and natural value","Protect, appropriately use and conserve the quality and quantity of current and projected water sources within the County including surface water, springs, groundwater and waters that flow into the Gulf of Mexico","Encourage the long-term conservation and proper management of forest lands in the County to ensure a continuous yield of forest products, habitats for wildlife, forest associated recreation, aesthetics, clean air and clean water; identify the locations of, and protect endangered and threatened wildlife species.",,,,2017,Levy County,Levy,101
Manatee County Florida Comprehensive Plan,https://library.municode.com/fl/manatee_county/codes/comprehensive_plan?nodeId=15530,County,expert opinion,yes,yes,yes,"Protect, Enhance, and Maintain the Natural Floral and Faunal Resources of Manatee County, Preserve and protect existing, viable wetland systems, Protect and preserve native wildlife, endangered, threatened and species of special concern, and native upland habitat through appropriate acquisition, restoration, and development controls, Protection, Preservation, and Enhancement of the Natural Resources of the Coastal Planning Area to Provide the Highest Environmental Quality Possible, Maintain or increase the amount of native habitat in the Coastal Planning Area, ","Maintain or enhance the quality and transparency of surface waters and protect groundwater quality through natural resource and land use programs to:Contribute to continued cleanup and pollution reduction goals of Tampa Bay and Sarasota Bay; Protection of Surface and Groundwater Resources at Lowest Possible Cost for Potable Water Use, Recreational Use, and to Provide Aquatic Habitat for Native Flora and Fauna,Development/Implementation of strategies for a coordinated approach to achieving the goals of the Sarasota Bay and Tampa Bay Estuary Programs, and Charlotte Harbor by working with participating federal, state, and local agencies","Improve coastal water quality such that all DEP shellfish harvesting prohibition areas are upgraded to ""Approved"" as feasible, and such that juvenile fish populations and a diversity of other living marine resources are restored and sustained, Implement protection mechanisms to decrease the number of human-caused manatee deaths and increase manatee awareness among residents and visitors",Protection of the Residents and Property Within the Coastal Planning Area from the Physical and Economic Effects of Natural Disasters,,,2017,Manatee County,Manatee,102
Monroe County Year 2030 Comprehensive Plan,http://www.monroecounty-fl.gov/DocumentCenter/Home/View/4606,County,expert opinion,yes,yes,yes,"Protecting upland resources, tropical biological communities, freshwater wetlands, native tropical vegetation (for example, hardwood hammocks and pinelands), dune ridges and beaches, wildlife, and their habitat, Prevent encroachment into native habitat",Limit development impacts on water quality; improve nearshore water quality by requiring the construction and operation of wastewater management facilities,"Protect shoreline and marine resources, including mangroves, coral reef formations, seagrass beds, wetlands, fish and wildlife, and their habitat",,Increase efforts to manage the resources to effectively preserve and improve the ecological values of the remaining terrestrial ecosystems,"Ensurie the maximum well-being of the Florida Keys and its citizens through sound economic development, Protect the value, efficiency, cost-effectiveness, and amortized life of existing and proposed major public investment",2016,Monroe County,Monroe,103
Okaloosa Comprehensive Plan ,http://www.co.okaloosa.fl.us/sites/default/files/doc/dept/growth_mgmt/comp_plan/CH-2.9%20coastal%20mngmt.pdf,County,expert opinion,yes,yes,yes,"Protect coastal barrier islands and maintain or improve estuarine environmental quality by planning for and where appropriate restricting development that would damage these resources, while also providing public access for recreation purposes",,"Promote the protection, preservation, and appropriate use of Okaloosa County's natural resources, including minerals, water supply sources, wetlands, estuarine and riverine systems, floodplains, shorelines, areas of sensitive topography, and natural vegetative, marine, and wildlife habitats.","Protect human life and property, including historic resources, in locations subject to destruction by hurricanes in Okaloosa County",,,2009,Okaloosa County,Okaloosa,104
"2025 Comprehensive Plan, Pasco County Florida ",https://www.pascocountyfl.net/DocumentCenter/View/11363,County,expert opinion,yes,yes,yes,"Preserve the Hillsborough, Withlacoochee, Pithlachascotee, and Anclote Rivers, the coastal rivers, their tributaries, and streams in a predominantly natural state through the establishment of a fifty (50) foot setback from the mean annual flood line",Require water quality and drainage control for all new subdivisions and site plans adjacent to water bodies,,,,,2013,Pasco County,Pasco,105
Santa Rosa County Comprehensive Plan Policy Document,plan/fl106_Dept91-125-330.pdf,County,expert opinion,yes,yes,yes,"Protect Navarre Beach, the built environment, and the citizens that live in Santa Rosa County's coastal areas while maintaining and improving estuarine environmental quality., conserve, protect, and appropriately use soils, minerals and native vegetative communities including forests, Conserve, appropriately use and protect fisheries, fishery habitats, wildlife, wildlife habitats and other marine or wildlife resources in the County","Conserve, appropriately use, and protect the quality of waters that flow into the bays, bayous, Santa Rosa Sound, and the Gulf of Mexico through appropriate land use planning, environmental regulation, and education; conserve, appropriately use, and protect natural groundwater recharge areas and wellhead protection areas",,Protect people and property by limiting public expenditures in areas subject to destruction by natural disasters,"Preserve and protect the environmental quality of estuarine environments, coastal wetlands, wildlife habitat and living marine resources by restricting development, or by limiting the impacts of development or redevelopment",Increase or maintain the amount of public access to the beach or shoreline consistent with estimated public need,2013,Pinellas County,Santa Rosa,106
Sarasota County Comprehensive Plan ,plan/fl107_a_SarasotaCountyComprehensiv.pdf,County,expert opinion,yes,yes,yes,"Protection of beaches: 1) landward relocation of structures which allows the beach to migrate and erode naturally; 2) structural or passive restoration of the beaches and dunes; 3) a combination of the first two methods; or 4) purchase of lands by government for recreation, resource protection and to prevent costly government-financed reconstruction following storm events",,,,,,2016,Santa Rosa County,Sarasota,107
Wakulla County Comprehensive Plan,http://www.mywakulla.com/CE.pdf,County,expert opinion,yes,yes,yes,"conserve and protect the wetland, upland, wildlife and aquatic habitats that support endangered or threatened species, fisheries, species of special concern and preserve and protect the biodiversity and ecological value of the County's natural resources","Protect surface water and groundwater quality to ensure that water quality is not allowed to degrade below present conditions, including that of Wakulla Springs, St. Marks Springs, Spring Creek Springs, and the sections of the St. Marks, Wakulla, Sopchoppy and Ochlockonee Rivers and Apalachee Bay; To ensure protection of native vegetation, water quality and water flow in wetlands, Commercial or industrial uses shall not be allowed in wetland areas; Restore the health of Wakulla Springs by reducing pollutants in the
groundwater",,"To protect the natural functions of the 1% annual chance floodplain (100-year floodplain), to the extent that flood-carrying and flood storage capacity are maintained",,,2010,Wakulla County,Wakulla,108
Comprehensive Plan To Restore Walton County's Ecosystems and Economy,https://www.co.walton.fl.us/DocumentCenter/View/8886,County,expert opinion,yes,yes,yes,"Restore, protect and conserve the health, diversity and resilience of key coastal, riverine, estuarine and marine habitats, including rivers, bays, bayous and coastal dune lakes","Restore and protect water quality of the County's fresh, estuarine and marine waters, including rivers, bays, bayous and coastal dune lake","Restore and protect healthy, diverse and sustainable living coastal and marine resources",Build upon and sustain communities with capacity to adapt to short and long term changes,,"Enhance and protect the sustainability and resiliency of Walton County's economy, working to diversify the County's economic base.",2014,Walton County Board of County Commissioners,Walton,109
Water Quality Improvements to Enhance Fisheries Habitat in the Lower Choctawhatchee River Basin: Phase I,http://www.nfwf.org/gulf/Documents/fl-choctawhatchee-15.pdf,Watershed,expert opinion,no,no,no,,improve water quality and enhance access to fish spawning and rearing habitat in the eastern Choctawhatchee Bay watershed by reducing upstream sediment loading. ,,,,,2015,FDEP NFWF,Choctawhatchee Bay,110
Florida Gulf Environmental Benefit Fund Restoration Strategy,http://www.nfwf.org/gulf/Documents/fl-restoration%20planning-15oc.pdf,Coastal_zone,data driven,no,no,no,,"estuary-based planning for six key watersheds in the Panhandle and Big Bend regions: Perdido, Pensacola, Choctawhatchee/ St. Andrew, Apalachicola/Chipola, Ochlockonee/St. Marks, and Suwannee. This project will identify and develop priority restoration projects for future funding consideration under the GEBF",,,,,2015,Florida Fish and Wildlife Conservation Commission,Coastal_zone,111
Restoration of Florida's Coastal Dune Lakes,http://www.nfwf.org/gulf/Documents/fl-dune-lakes-14.pdf,County,stakeholder driven,no,no,no,,,remove invasive species and use fire management to restore wetland habitat and increase freshwater flows into priority coastal dune lakes in the Florida Panhandle.,,,,2014,FDEP NFWF,Walton,112
Bayou Chico Restoration,http://www.nfwf.org/gulf/Documents/fl-bayou-chico-14.pdf,Watershed,expert opinion,no,no,no,,"suite of projects will reduce sediment and nutrient loading to Bayou Chico, reduce turbidity, increase water clarity, and improve light penetration for photosynthesis to enable expansion of submerged aquatic vegetation (SAV) habitat",,,,,2014,"Escambia County, Florida NFWF",Escambia,113
"Destin Harbor, Joe's Bayou, and Indian Bayou Water Quality Improvement",http://www.nfwf.org/gulf/Documents/fl-destin-h2oq-14.pdf,Basin,data driven,no,no,no,,"improve surface water quality in Destin Harbor, Joe's Bayou, and Indian Bayou that directly feed into the southwestern portion of Choctawhatchee Bay. As part of the project, the City of Destin will establish roadside swale systems to provide treatment for shallow aquifer recharge prior to discharge, construct exfiltration systems to provide stormwater treatment, and repair poorly performing culverts. Choctawhatchee Bay is a 27-mile-long estuary that supports diverse aquatic and wetland habitats",,,,,2014,"City of Destin, Florida NFWF","City of Destin, Florida",114
Boggy Bayou Watershed Water Quality Improvement,http://www.nfwf.org/gulf/Documents/fl-boggy-h2oq-14.pdf,County,expert opinion,no,no,no,,"installation of sediment collection and treatment facilities at the outfall into Boggy Bayou, the addition of stormwater management controls at Thomas Branch, the creation of habitat and living shorelines, the removal of exotic species, and the restoration of emergent grasses at the headwaters of Boggy Bayou",,,,,2014,"City of Niceville, NFWF",Okaloosa,115
Restoration and Management of Escribano Point Coastal Habitat: Phase II,http://www.nfwf.org/gulf/Documents/fl-escribano-ii-14.pdf,County,expert opinion,no,no,no,"strategic acquisitions to improve the sustainability of, and provide long-term protection for, the coastal habitat of Escribano Point in Pensacola Bay. Acquisitions under this proposal will result in approximately 590 acres of preserved, high-value coastal wildlife habitat",,,,,,2014,Trust for Public Land NFWF,Santa Rosa,116
Comprehensive Panhandle Coastal Bird Conservation,http://www.nfwf.org/gulf/Documents/fl-bird-conservation.pdf,Coastal_zone,expert opinion,no,no,yes,,,"improve Panhandle beach-nesting bird habitat through nesting habitat enhancements and stewardship activities that will result in increased nesting, hatching, and rearing of chicks. Activities include the placement of signage to protect nesting sites and prevent road mortality of chicks; disturbance monitoring and abatement; mapping, monitoring, and adaptive management to support nesting; and artificial nesting support and experimental habitat creation",,,,2013,"National Audubon Society, Inc.NFWF",Coastal_zone,117
